network,node1,node2,shortest_path,distance,path_in_N_networks,edge_weight,edge_betweenness
hetero,115,117,"[115, 214, 117]",2,1,,
hetero,115,121,"[115, 110, 318, 116, 121]",4,1,,
hetero,115,122,"[115, 214, 122]",2,1,,
hetero,115,124,"[115, 110, 318, 116, 124]",4,1,,
hetero,115,125,"[115, 112, 211, 125]",3,1,,
hetero,115,211,"[115, 112, 211]",2,1,,
hetero,115,213,"[115, 110, 213]",2,1,,
hetero,115,310,"[115, 214, 310]",2,1,,
hetero,115,311,"[115, 214, 311]",2,1,,
hetero,115,312,"[115, 214, 311, 312]",3,1,,
hetero,115,313,"[115, 110, 318, 313]",3,1,,
hetero,115,314,"[115, 110, 111, 314]",3,1,,
hetero,115,318,"[115, 112, 318]",2,1,,
hetero,115,319,"[115, 112, 319]",2,1,,
hetero,115,415,"[115, 110, 213, 415]",3,1,,
hetero,115,418,"[115, 110, 418]",2,1,,
hetero,115,419,"[115, 110, 318, 116, 419]",4,1,,
hetero,115,510,"[115, 110, 510]",2,1,,
hetero,115,511,"[115, 110, 511]",2,1,,
hetero,115,514,"[115, 110, 111, 514]",3,1,,
hetero,115,118,"[115, 110, 111, 118]",3,1,,
hetero,115,119,"[115, 110, 111, 119]",3,1,,
hetero,115,316,"[115, 110, 111, 316]",3,1,,
hetero,114,115,"[114, 111, 110, 115]",3,1,,
hetero,114,116,"[114, 510, 116]",2,1,,
hetero,114,117,"[114, 214, 117]",2,1,,
hetero,114,121,"[114, 510, 116, 121]",3,1,,
hetero,114,124,"[114, 510, 116, 124]",3,1,,
hetero,114,125,"[114, 111, 211, 125]",3,1,,
hetero,114,211,"[114, 111, 211]",2,1,,
hetero,114,213,"[114, 310, 213]",2,1,,
hetero,114,311,"[114, 214, 311]",2,1,,
hetero,114,312,"[114, 214, 311, 312]",3,1,,
hetero,114,313,"[114, 319, 112, 318, 313]",4,1,,
hetero,114,314,"[114, 319, 112, 111, 314]",4,1,,
hetero,114,318,"[114, 319, 112, 318]",3,1,,
hetero,114,415,"[114, 111, 213, 415]",3,1,,
hetero,114,418,"[114, 111, 110, 418]",3,1,,
hetero,114,419,"[114, 510, 116, 419]",3,1,,
all,114,510,"[114, 319, 112, 111, 314, 510]",5,1,1.0,0.032081736909323116
hetero,114,511,"[114, 111, 110, 511]",3,1,,
hetero,114,118,"[114, 319, 112, 111, 118]",4,1,,
hetero,114,119,"[114, 319, 112, 111, 119]",4,1,,
hetero,114,316,"[114, 319, 112, 111, 316]",4,1,,
hetero,113,115,"[113, 110, 115]",2,1,,
hetero,113,116,"[113, 318, 116]",2,1,,
hetero,113,117,"[113, 318, 117]",2,1,,
hetero,113,121,"[113, 318, 116, 121]",3,1,,
hetero,113,122,"[113, 111, 112, 319, 122]",4,1,,
hetero,113,124,"[113, 318, 116, 124]",3,1,,
hetero,113,125,"[113, 111, 211, 125]",3,1,,
hetero,113,211,"[113, 111, 211]",2,1,,
hetero,113,213,"[113, 111, 112, 319, 310, 213]",5,1,,
hetero,113,214,"[113, 111, 112, 319, 214]",4,1,,
hetero,113,310,"[113, 111, 112, 319, 310]",4,1,,
hetero,113,311,"[113, 110, 214, 311]",3,1,,
hetero,113,312,"[113, 110, 214, 311, 312]",4,1,,
hetero,113,313,"[113, 318, 313]",2,1,,
hetero,113,314,"[113, 111, 314]",2,1,,
hetero,113,319,"[113, 111, 112, 319]",3,1,,
